"num_minors","hombre","bin_head","age","bin_headFemale","age2","estrato1","maximo_nivel_educativo","tamano_empresa","tiempo_empresa_actual","formal","hoursWorkUsual","ingreso_laboral_horas_actuales","oficio","log_ingreso_laboral_horas_actuales","age_grupo"
1,1,0,51,0,2601,"2","6","1",100,0,48,6306.49276455966,"93",8.67047588896994,"45-54"
1,0,1,51,1,2601,"2","6","7",72,1,45,5617.2841796875,"55",8.63360358404018,"45-54"
1,1,1,43,0,1849,"2","7","9",24,1,48,17662.037109375,"21",9.7791728191122,"35-44"
2,1,0,47,0,2209,"2","6","1",204,1,70,6210.06002215485,"98",8.63812303246879,"45-54"
2,0,1,41,1,1681,"2","6","9",48,1,40,9682.205078125,"32",9.17804495165571,"35-44"
2,0,0,31,0,961,"2","6","5",24,1,48,4019.57348632812,"97",8.29893107805595,"25-34"
2,1,0,36,0,1296,"2","5","5",156,1,48,4014.30737304688,"98",8.2976201016729,"35-44"
0,0,1,50,1,2500,"2","6","9",108,1,48,4425.23193359375,"55",8.39507797043991,"45-54"
1,0,0,42,0,1764,"2","6","1",12,1,48,5284.02783203125,"54",8.57244393285606,"35-44"
1,1,1,45,0,2025,"2","4","4",70,1,45,7777.77783203125,"98",8.95902595067072,"45-54"
1,1,0,20,0,400,"2","7","9",4,1,60,3056.66674804688,"95",8.02508030320624,"18-24"
0,1,1,49,0,2401,"2","6","5",36,1,48,6237.486328125,"58",8.7383325481736,"45-54"
1,0,1,47,1,2209,"2","6","1",24,0,9,4563.757559982,"55",8.40068127693269,"45-54"
1,1,1,24,0,576,"2","6","1",36,0,60,4291.67515980114,"98",8.3022552533823,"18-24"
0,1,0,27,0,729,"2","7","9",12,1,42,7406.33349609375,"33",8.91009079098817,"25-34"
0,0,0,24,0,576,"2","7","7",12,1,40,17791.666015625,"30",9.78648542527031,"18-24"
0,0,1,47,1,2209,"2","7","9",3,1,84,6342.59228515625,"19",8.75504284164843,"45-54"
0,1,0,55,0,3025,"2","5","1",360,1,48,8164.39233398438,"83",9.00605718094599,"55-60"
0,1,0,21,0,441,"3","7","4",1,0,15,5444.4443359375,"42",8.6023509798267,"18-24"
0,1,1,29,0,841,"2","6","2",18,0,48,3990.27709960938,"55",8.29161595599613,"25-34"
0,1,0,35,0,1225,"2","4","9",38,1,56,6304.75,"98",8.74905859654232,"35-44"
0,0,1,56,1,3136,"2","6","9",142,1,48,4289.12109375,"55",8.36383711768092,"55-60"
0,0,1,53,1,2809,"2","6","9",112,1,48,6197.91650390625,"45",8.73196846679943,"45-54"
0,0,0,23,0,529,"2","7","9",8,1,48,7899.3056640625,"39",8.97453014396751,"18-24"
3,1,1,41,0,1681,"2","6","4",2,1,49,3908.8427734375,"55",8.27099664330011,"35-44"
1,0,1,32,1,1024,"2","6","9",5,0,48,3990.27709960938,"32",8.29161595599613,"25-34"
0,1,1,62,0,3844,"2","4","3",1,0,84,3333.33325195312,"39",8.11172805889401,"60+"
1,1,1,24,0,576,"2","7","9",1,1,48,8230.5419921875,"84",9.01560714717557,"18-24"
1,0,0,43,0,1849,"3","7","9",144,1,30,24500,"13",10.1064283965328,"35-44"
1,1,1,55,0,3025,"3","7","9",144,1,30,22750,"13",10.0323204243791,"55-60"
0,0,1,73,1,5329,"2","4","1",96,1,40,4303.34912109375,"54",8.36714886389406,"60+"
0,1,0,51,0,2601,"2","5","3",60,0,48,4861.111328125,"93",8.4890223590924,"45-54"
0,0,1,76,1,5776,"2","3","1",360,0,30,3859.0997140067,"79",8.24347217327059,"60+"
0,1,0,47,0,2209,"3","6","1",120,0,60,6809.51400951629,"45",8.64013192068761,"45-54"
2,0,0,56,0,3136,"3","6","1",6,0,8,3933.02439117432,"54",8.16971703043754,"55-60"
2,0,0,47,0,2209,"3","6","9",108,1,48,4290.0458984375,"97",8.36405271080131,"45-54"
2,0,0,29,0,841,"3","6","6",14,1,40,6341.64990234375,"39",8.75489425053824,"25-34"
1,0,1,52,1,2704,"3","6","2",300,0,54,5695.00732421875,"57",8.64734516195925,"45-54"
0,1,1,63,0,3969,"3","6","2",420,0,48,5632.12133789062,"84",8.48980547605328,"60+"
0,0,0,25,0,625,"3","6","1",48,1,60,2883.50732421875,"54",7.96676265309689,"25-34"
1,1,1,32,0,1024,"3","7","1",36,1,50,4776.03002929688,"18",8.38958449129885,"25-34"
0,0,0,24,0,576,"3","6","9",24,1,48,4545.94921875,"58",8.42199183381556,"18-24"
0,1,1,27,0,729,"3","6","9",24,1,48,4575.11572265625,"58",8.42838727195939,"25-34"
0,0,0,63,0,3969,"3","3","2",300,0,60,79333.3359375,"41",11.2814136968111,"60+"
0,1,1,71,0,5041,"3","3","2",300,0,60,79333.3359375,"41",11.2814136968111,"60+"
0,1,1,52,0,2704,"4","7","9",174,1,45,46547.84375,"2",10.7482359604723,"45-54"
0,0,0,52,0,2704,"4","7","9",60,1,45,31206.173828125,"2",10.3483712333287,"45-54"
0,1,0,25,0,625,"4","7","9",6,1,48,7104.38427734375,"2",8.86846737630359,"25-34"
0,0,1,53,1,2809,"4","4","1",144,0,48,5105.1221110026,"84",8.44586357192553,"45-54"
0,0,0,30,0,900,"4","7","7",24,1,48,10532.408203125,"2",9.26221227823247,"25-34"
1,1,1,42,0,1764,"4","6","4",84,1,72,3540.95568847656,"57",8.10753703444939,"35-44"
1,0,0,52,0,2704,"4","6","4",84,1,72,5695.00732421875,"57",8.64734516195925,"45-54"
3,1,0,41,0,1681,"3","7","1",56,0,40,8411.35443405878,"39",8.84063077349119,"35-44"
3,0,0,19,0,361,"3","7","9",18,1,48,4456.0185546875,"33",8.4020109455768,"18-24"
3,0,1,37,1,1369,"3","7","9",12,1,48,4323.26318359375,"41",8.37176576266504,"35-44"
3,0,0,18,0,324,"3","7","4",37,1,48,4901.6201171875,"41",8.49732106561134,"18-24"
0,0,1,53,1,2809,"3","5","1",30,0,20,5695.00732421875,"57",8.64734516195925,"45-54"
1,0,0,39,0,1521,"4","7","2",24,0,20,31481.1793259246,"21",9.95076868637164,"35-44"
1,1,1,41,0,1681,"4","7","9",84,1,48,26331.017578125,"44",10.1785028988429,"35-44"
0,0,0,33,0,1089,"4","7","4",8,1,30,5055.5556640625,"53",8.52824304906573,"25-34"
0,1,0,51,0,2601,"4","6","4",240,0,56,5278.14580426897,"53",8.53994176170509,"45-54"
0,1,1,59,0,3481,"3","7","1",240,0,30,8275.76228841146,"84",8.91284665143549,"55-60"
1,1,0,49,0,2401,"2","6","1",120,0,70,3406.49415806362,"81",8.06711750413151,"45-54"
1,0,1,53,1,2809,"2","6","9",24,1,48,4131.24951171875,"55",8.32633518540786,"45-54"
1,0,1,60,1,3600,"3","4","1",240,0,45,3825.19921875,"54",8.24936582823768,"60+"
0,1,0,27,0,729,"2","7","1",36,0,5,8246.3257107942,"3",8.86901709932904,"25-34"
0,0,0,43,0,1849,"2","7","9",32,1,30,12460,"13",9.43027879234144,"35-44"
0,0,1,62,1,3844,"2","6","4",240,0,48,3791.66674804688,"92",8.24056097661395,"60+"
0,1,1,47,0,2209,"2","6","4",48,0,60,12444.4443359375,"98",9.4290295642217,"45-54"
2,1,0,18,0,324,"3","7","3",0,0,15,4666.66650390625,"53",8.44820028505205,"18-24"
2,0,1,44,1,1936,"3","7","4",5,1,10,16333.3330078125,"37",9.70096326849481,"35-44"
0,0,0,40,0,1600,"3","7","9",48,1,40,25055.5290305398,"6",10.0271933319395,"35-44"
3,0,1,42,1,1764,"2","6","1",36,0,40,3540.95568847656,"57",8.10753703444939,"35-44"
3,1,0,23,0,529,"2","6","3",3,0,80,2333.33325195312,"37",7.75505310449211,"18-24"
2,1,0,38,0,1444,"3","5","9",42,1,84,8893.5185546875,"58",9.09307803813342,"35-44"
0,1,0,22,0,484,"3","6","9",24,1,48,3727.90673828125,"38",8.2236021589371,"18-24"
0,0,0,21,0,441,"3","6","2",7,1,48,3586.12426757812,"6",8.18482730710011,"18-24"
0,1,1,47,0,2209,"3","6","6",48,1,48,3727.90673828125,"85",8.2236021589371,"45-54"
0,0,0,50,0,2500,"3","6","9",120,1,48,3883.86767578125,"55",8.2645867597735,"45-54"
3,1,1,35,0,1225,"3","7","9",144,1,50,7193.54248046875,"3",8.88093902485602,"35-44"
3,0,0,37,0,1369,"3","7","9",36,1,40,5187.09912109375,"54",8.55392988369142,"35-44"
1,0,0,24,0,576,"2","7","9",12,1,45,5487.4814453125,"21",8.61022467611347,"18-24"
1,0,0,47,0,2209,"2","5","1",96,0,36,2074.07397460938,"54",7.63727005575676,"45-54"
2,1,1,43,0,1849,"2","6","1",60,0,70,5099.26775512695,"98",8.46264186454584,"35-44"
1,1,0,19,0,361,"3","6","4",14,0,48,5133.06939142401,"84",8.47159937739163,"18-24"
1,1,0,18,0,324,"3","7","5",72,1,48,5650.1015625,"70",8.63942879964264,"18-24"
1,0,1,46,1,2116,"3","6","1",2,0,40,2100,"54",7.64969262371151,"45-54"
3,0,0,57,0,3249,"2","6","9",36,1,48,3791.66674804688,"55",8.24056097661395,"55-60"
3,1,0,24,0,576,"2","6","3",24,0,16,8750,"58",9.07680897935166,"18-24"
3,1,0,24,0,576,"2","5","4",11,1,48,5271.55095873381,"58",8.38228905621278,"18-24"
3,0,0,20,0,400,"2","7","5",7,1,48,3586.12426757812,"33",8.18482730710011,"18-24"
1,0,1,42,1,1764,"3","7","9",10,1,8,16103.4906475361,"13",9.44770084780992,"35-44"
0,1,0,42,0,1764,"2","5","2",18,0,50,3442.67944335938,"93",8.14400535512938,"35-44"
0,1,0,25,0,625,"2","6","9",30,1,48,6196.9765625,"37",8.73181680088299,"25-34"
0,0,0,58,0,3364,"3","7","9",132,1,30,18148.1484375,"13",9.80632382002636,"55-60"
1,1,1,46,0,2116,"2","6","5",72,1,50,12133.3330078125,"39",9.40371173812808,"45-54"
1,1,1,54,0,2916,"2","5","1",240,0,5,7420.33885091146,"85",8.77796698338465,"45-54"
1,1,0,25,0,625,"2","6","9",1,1,48,4618.0556640625,"45",8.43772904355823,"25-34"
0,0,1,31,1,961,"3","7","9",24,1,48,10532.408203125,"6",9.26221227823247,"25-34"
1,0,0,23,0,529,"3","7","9",12,1,45,8295.2939453125,"2",9.02344363844184,"18-24"
1,1,1,25,0,625,"3","7","4",3,1,40,5268.31689453125,"39",8.56946621567264,"25-34"
2,1,1,26,0,676,"2","6","3",24,0,48,5833.33349609375,"77",8.67134389914528,"25-34"
0,1,1,31,0,961,"3","7","2",36,1,48,17552.8736666166,"11",9.45463728532475,"25-34"
0,0,0,35,0,1225,"3","7","8",84,1,48,21588.1953125,"21",9.97990193096924,"35-44"
0,1,1,52,0,2704,"2","5","9",96,1,48,5670.3564453125,"58",8.64300725988035,"45-54"
0,0,0,51,0,2601,"2","5","9",24,1,48,4289.12109375,"55",8.36383711768092,"45-54"
0,0,0,49,0,2401,"2","6","3",24,0,48,4127.39385986328,"79",8.30065899774788,"45-54"
0,1,1,60,0,3600,"2","6","9",12,1,54,6408.62939453125,"93",8.76540070404527,"60+"
0,1,1,30,0,900,"3","6","4",84,1,48,6342.81005859375,"58",8.75507717614277,"25-34"
0,0,0,60,0,3600,"3","5","1",48,0,84,79333.3359375,"41",11.2814136968111,"60+"
0,1,1,32,0,1024,"3","5","3",1,0,84,2500,"77",7.82404601085629,"25-34"
0,1,1,27,0,729,"3","3","4",1,1,48,5945.8193359375,"58",8.69044361896214,"25-34"
1,1,1,52,0,2704,"3","6","2",360,0,70,5648.83271135603,"79",8.61047092531803,"45-54"
1,0,0,48,0,2304,"3","6","2",390,0,70,4127.39385986328,"79",8.30065899774788,"45-54"
1,1,0,21,0,441,"3","7","9",11,1,48,3586.12426757812,"19",8.18482730710011,"18-24"
0,1,1,30,0,900,"2","7","9",0,1,48,4861.111328125,"15",8.4890223590924,"25-34"
1,1,1,55,0,3025,"2","6","1",6,0,48,5964.59582913306,"98",8.5474537014119,"55-60"
0,1,0,27,0,729,"3","7","9",48,1,45,16333.3330078125,"8",9.70096326849481,"25-34"
0,1,1,59,0,3481,"3","3","9",336,1,48,5670.3564453125,"45",8.64300725988035,"55-60"
0,0,0,57,0,3249,"3","4","1",12,1,40,7583.33349609375,"54",8.9337081571739,"55-60"
1,0,0,61,0,3721,"3","3","1",60,0,48,5021.1640218099,"55",8.50792937268526,"60+"
2,1,1,43,0,1849,"3","6","3",24,0,65,2871.794921875,"84",7.9626925215862,"35-44"
0,1,1,42,0,1764,"2","7","9",43,1,48,6824.06005859375,"58",8.82820989021628,"35-44"
1,0,1,50,1,2500,"3","7","1",24,0,28,21232.2057756696,"44",9.59619243464887,"45-54"
0,0,0,26,0,676,"4","7","2",7,0,60,11666.6669921875,"45",9.36449107970523,"25-34"
0,0,1,48,1,2304,"4","5","2",7,0,60,26128.47265625,"41",10.1707809050746,"45-54"
0,1,1,36,0,1296,"3","6","2",24,0,70,5462.90632120768,"84",8.50037009492909,"35-44"
0,1,0,22,0,484,"2","6","6",13,1,48,3990.27709960938,"58",8.29161595599613,"18-24"
1,1,0,44,0,1936,"3","7","6",13,1,50,34148.0990263526,"21",10.0191474032227,"35-44"
1,0,0,41,0,1681,"3","7","9",120,1,48,15798.611328125,"39",9.66767732452745,"35-44"
3,1,1,73,0,5329,"2","3","2",12,0,60,4054.99774169922,"45",8.12885448532475,"60+"
3,0,0,44,0,1936,"2","6","9",144,1,48,6095.83349609375,"90",8.71536078336054,"35-44"
3,1,0,21,0,441,"2","7","9",12,1,48,6723.59716796875,"55",8.81337858315158,"18-24"
3,1,0,19,0,361,"2","6","9",11,1,48,2430.5556640625,"58",7.79587517853245,"18-24"
3,1,0,37,0,1369,"2","6","1",4,0,60,4571.36791274127,"37",8.41582781286784,"35-44"
3,0,0,39,0,1521,"2","7","4",20,1,48,2360.31762695312,"79",7.76655147665555,"35-44"
0,1,0,19,0,361,"2","6","9",5,1,70,1000,"58",6.90775527898214,"18-24"
1,1,1,59,0,3481,"4","7","3",72,1,48,38811.921875,"3",10.5664827432348,"55-60"
1,0,0,53,0,2809,"4","7","3",72,1,48,4726.916015625,"51",8.46102826368491,"45-54"
0,0,0,51,0,2601,"4","7","9",9,1,60,44444.4453125,"21",10.7019952682851,"45-54"
0,1,0,50,0,2500,"4","7","1",10,0,60,6809.51400951629,"45",8.64013192068761,"45-54"
1,1,0,31,0,961,"4","7","3",60,1,48,13043.9814453125,"2",9.47608211443906,"25-34"
1,0,0,28,0,784,"4","7","9",1,1,36,10521.60546875,"39",9.26118608574572,"25-34"
1,1,1,55,0,3025,"3","6","1",120,0,48,4804.59619140625,"81",8.44718314120217,"55-60"
1,0,0,50,0,2500,"3","6","1",4,0,40,26128.47265625,"41",10.1707809050746,"45-54"
2,1,0,26,0,676,"3","7","5",24,1,48,6319.4443359375,"2",8.7513865617467,"25-34"
2,0,0,46,0,2116,"3","5","1",48,0,40,4563.757559982,"55",8.40068127693269,"45-54"
2,1,1,58,0,3364,"3","3","1",480,0,48,5490.36538696289,"93",8.47107183319573,"55-60"
0,0,0,57,0,3249,"2","7","9",240,1,40,9041.6669921875,"13",9.10959883817695,"55-60"
0,0,1,49,1,2401,"3","7","3",1,1,60,2333.33325195312,"77",7.75505310449211,"45-54"
1,0,1,58,1,3364,"2","7","9",120,1,48,16406.25,"39",9.70541763877403,"55-60"
2,0,1,55,1,3025,"3","5","1",50,0,40,5897.8121686663,"45",8.5157214480176,"55-60"
2,1,0,25,0,625,"3","6","7",12,1,48,4294.0966796875,"87",8.36499649324989,"25-34"
1,0,0,29,0,841,"2","4","1",60,0,70,4821.95227050782,"41",8.41366256105503,"25-34"
1,1,1,36,0,1296,"2","6","1",6,0,54,4656.26293945312,"41",8.44596596497594,"35-44"
0,0,0,51,0,2601,"3","4","1",4,0,45,4563.757559982,"55",8.40068127693269,"45-54"
1,0,1,26,1,676,"3","7","9",3,1,48,12901.388671875,"2",9.46509023353859,"25-34"
0,0,0,57,0,3249,"1","1","1",240,0,48,5234.34051983173,"55",8.5178145876325,"55-60"
0,1,1,51,0,2601,"3","6","3",6,0,48,7291.66650390625,"91",8.89448740023628,"45-54"
1,1,1,45,0,2025,"3","6","2",3,1,70,2603.33325195312,"98",7.86454792290562,"45-54"
2,1,1,38,0,1444,"2","6","7",60,1,48,4456.0185546875,"98",8.4020109455768,"35-44"
0,1,1,39,0,1521,"1","7","1",5,1,72,4628.17797851562,"79",8.41681707553458,"35-44"
0,1,1,36,0,1296,"3","7","9",54,1,54,22847.22265625,"8",10.0365848421625,"35-44"
1,1,0,20,0,400,"1","5","3",9,0,50,2333.33325195312,"98",7.75505310449211,"18-24"
1,1,1,47,0,2209,"1","3","1",12,0,60,6210.06002215485,"98",8.63812303246879,"45-54"
1,0,0,49,0,2401,"1","5","1",3,0,24,26128.47265625,"41",10.1707809050746,"45-54"
0,0,1,53,1,2809,"4","7","9",240,1,56,75000,"6",11.2252433925184,"45-54"
0,0,0,27,0,729,"4","7","1",24,1,60,14845.7122039795,"16",9.21142173637695,"25-34"
0,1,0,22,0,484,"2","6","9",8,1,72,2660.18481445312,"39",7.8861508784799,"18-24"
0,0,0,50,0,2500,"2","5","1",60,0,36,6463.45922851562,"92",8.72448424134535,"45-54"
1,1,1,46,0,2116,"1","4","3",3,1,48,3990.27709960938,"95",8.29161595599613,"45-54"
1,1,1,42,0,1764,"1","5","1",14,0,48,5353.58471679688,"51",8.52155110323584,"35-44"
1,1,0,18,0,324,"1","6","3",4,1,54,3726.23388671875,"89",8.22315332072094,"18-24"
2,0,0,27,0,729,"2","6","9",5,1,48,4131.24951171875,"79",8.32633518540786,"25-34"
2,0,1,52,1,2704,"2","7","9",264,1,48,5962.0234375,"59",8.69316520537756,"45-54"
0,1,1,64,0,4096,"1","5","1",48,0,40,4054.99774169922,"45",8.12885448532475,"60+"
0,0,1,55,1,3025,"2","6","1",84,0,48,1215.27783203125,"54",7.10272799797251,"55-60"
1,1,1,37,0,1369,"2","7","8",12,1,48,6319.4443359375,"19",8.7513865617467,"35-44"
1,0,0,46,0,2116,"2","7","1",60,1,48,4189.72041467873,"54",8.24962703664781,"45-54"
0,1,1,63,0,3969,"1","3","9",176,1,48,4050.92578125,"83",8.3067007219413,"60+"
0,0,1,49,1,2401,"2","4","1",2,0,30,4666.66650390625,"54",8.44820028505205,"45-54"
0,1,0,22,0,484,"2","6","4",0,0,48,4131.9443359375,"59",8.32650335869126,"18-24"
0,1,0,44,0,1936,"2","7","9",36,1,48,4739.58349609375,"36",8.46370454080591,"35-44"
1,1,0,23,0,529,"1","6","9",7,1,48,4132.0595703125,"39",8.32653124695858,"18-24"
1,1,0,28,0,784,"1","3","8",6,0,60,2722.22216796875,"39",7.90920379926675,"25-34"
3,1,1,41,0,1681,"1","5","7",48,1,48,3990.27709960938,"58",8.29161595599613,"35-44"
1,1,1,45,0,2025,"2","6","9",360,1,48,5284.70849609375,"98",8.57257273994185,"45-54"
1,0,0,44,0,1936,"2","6","2",300,1,45,5318.13330078125,"32",8.57887763744994,"35-44"
1,1,1,40,0,1600,"2","7","4",60,1,50,5911.11083984375,"21",8.68458905210242,"35-44"
1,0,0,34,0,1156,"2","7","9",132,1,45,5871.18505859375,"3",8.67781177636349,"25-34"
2,1,1,26,0,676,"3","6","2",8,1,60,3370.46240234375,"33",8.12280522531175,"25-34"
2,0,0,23,0,529,"3","6","9",12,1,40,5491.2490234375,"55",8.61091101745023,"18-24"
0,1,1,44,0,1936,"3","4","4",24,0,45,4148.14794921875,"51",8.33041723631671,"35-44"
1,0,0,20,0,400,"3","6","2",4,0,48,4375,"45",8.38366179879172,"18-24"
1,1,1,44,0,1936,"3","4","3",24,1,48,4430.09326171875,"45",8.3961759151243,"35-44"
1,1,0,20,0,400,"3","5","2",36,0,50,4200,"45",8.34283980427146,"18-24"
1,1,0,21,0,441,"3","6","6",24,1,48,6399.5234375,"92",8.76397880368464,"18-24"
1,1,0,22,0,484,"3","6","2",36,1,40,4713.56914881656,"45",8.30994918442014,"18-24"
2,1,1,29,0,841,"1","5","2",96,0,90,5121.04207803915,"98",8.479953588418,"25-34"
0,1,1,24,0,576,"3","7","9",1,1,40,4326.388671875,"5",8.37248844803307,"18-24"
1,0,0,38,0,1444,"2","6","2",48,0,28,4166.66650390625,"51",8.33487159555978,"35-44"
1,1,1,43,0,1849,"2","6","5",24,0,40,4666.66650390625,"37",8.44820028505205,"35-44"
1,1,1,32,0,1024,"2","6","3",12,1,48,4861.111328125,"45",8.4890223590924,"25-34"
1,0,1,44,1,1936,"2","6","1",9,0,24,11734.6227283478,"45",8.60509731914462,"35-44"
2,0,1,51,1,2601,"2","4","1",9,1,40,5113.22119140625,"54",8.53958485473616,"45-54"
2,0,0,19,0,361,"2","6","3",48,0,24,1555.55554199219,"53",7.34958802254187,"18-24"
0,0,1,38,1,1444,"2","4","4",48,1,60,4536.28515625,"53",8.41986370856614,"35-44"
0,1,0,43,0,1849,"2","4","9",3,1,54,3259.6826171875,"87",8.08938511293033,"35-44"
0,1,1,54,0,2916,"2","6","9",36,1,40,5371.666015625,"98",8.58889338438223,"45-54"
1,0,1,67,1,4489,"2","5","1",204,0,30,3859.0997140067,"79",8.24347217327059,"60+"
0,1,1,21,0,441,"2","6","9",2,1,48,3586.12426757812,"56",8.18482730710011,"18-24"
1,0,1,43,1,1849,"2","6","1",7,1,50,4117.55615234375,"54",8.32301509944363,"35-44"
1,0,0,23,0,529,"2","7","9",24,1,48,7042.85770769817,"33",8.59108074925992,"18-24"
0,0,1,43,1,1849,"2","7","2",144,0,72,3944.28491210937,"41",8.241107764116,"35-44"
0,0,0,37,0,1369,"2","4","2",60,0,40,1750,"45",7.46737106691756,"35-44"
0,0,0,24,0,576,"2","7","2",3,0,30,1866.66662597656,"53",7.53190956625686,"18-24"
0,1,0,46,0,2116,"2","6","1",84,1,60,10269.2976074219,"41",9.03216603467501,"45-54"
2,0,0,43,0,1849,"2","6","6",6,1,40,5482.60791015625,"55",8.60933616275338,"35-44"
2,1,1,43,0,1849,"2","7","9",99,1,48,6175.2314453125,"33",8.72830164181605,"35-44"
3,1,1,33,0,1089,"2","6","4",5,0,50,3733.33325195312,"95",8.2250567468168,"25-34"
0,0,0,32,0,1024,"2","7","9",12,1,40,17937.5,"6",9.79464877250198,"25-34"
0,1,0,33,0,1089,"2","6","5",9,1,50,4715.79994176646,"53",8.36190742054438,"25-34"
0,1,1,52,0,2704,"2","6","9",168,1,48,8444.4306640625,"98",9.04126241004358,"45-54"
0,0,0,23,0,529,"2","7","5",36,1,43,6329.70068359375,"33",8.753008228648,"18-24"
2,1,1,35,0,1225,"1","6","9",132,1,72,2784.42309570312,"98",7.93179598393872,"35-44"
1,0,1,23,1,529,"1","6","8",3,1,48,4430.09326171875,"55",8.3961759151243,"18-24"
0,0,0,21,0,441,"1","7","6",36,0,72,2592.59252929688,"59",7.86041363061311,"18-24"
2,0,0,41,0,1681,"2","7","5",36,1,48,4003.7041015625,"59",8.29497523699565,"35-44"
2,1,1,54,0,2916,"2","5","4",24,1,48,4289.12109375,"97",8.36383711768092,"45-54"
0,1,0,23,0,529,"4","7","9",24,1,48,10532.408203125,"42",9.26221227823247,"18-24"
0,1,0,27,0,729,"4","7","9",6,1,48,12040.9016703944,"2",9.24214828366027,"25-34"
0,1,1,57,0,3249,"2","6","3",60,0,40,4666.66650390625,"45",8.44820028505205,"55-60"
2,0,1,35,1,1225,"2","7","6",60,1,60,4756.40468633743,"87",8.4301435678456,"35-44"
0,0,1,33,1,1089,"5","7","9",48,1,32,72916.6640625,"6",11.1970724798375,"25-34"
0,1,0,63,0,3969,"3","6","1",48,0,40,3500,"98",8.1605182474775,"60+"
1,1,1,41,0,1681,"5","7","9",136,1,48,77777.78125,"21",11.2616110813322,"35-44"
1,0,0,38,0,1444,"5","7","9",24,1,48,42534.72265625,"30",10.6580760250231,"35-44"
0,1,0,28,0,784,"5","7","9",3,1,40,6014.68369661824,"58",8.65331812546041,"25-34"
0,1,0,45,0,2025,"3","6","9",10,1,45,37875.7185164742,"13",10.035073222579,"45-54"
1,1,1,60,0,3600,"5","7","9",48,1,48,56364.4867078993,"21",10.5538567001665,"60+"
2,0,1,49,1,2401,"3","5","1",1,0,48,4375,"54",8.38366179879172,"45-54"
0,1,1,54,0,2916,"3","7","9",3,1,48,10694.4443359375,"3",9.27747966466771,"45-54"
0,1,0,27,0,729,"3","7","5",12,1,50,6454.6533203125,"2",8.77255659468316,"25-34"
1,1,1,47,0,2209,"3","4","7",48,1,48,3586.12426757812,"93",8.18482730710011,"45-54"
1,0,0,24,0,576,"3","7","6",4,1,48,5590.27783203125,"19",8.62878426652967,"18-24"
0,1,0,62,0,3844,"2","4","9",480,1,48,4375,"81",8.38366179879172,"60+"
0,1,0,44,0,1936,"2","6","7",11,1,60,4355.5556640625,"98",8.37920747335464,"35-44"
0,1,0,42,0,1764,"3","7","9",8,1,48,13165.5087890625,"21",9.48535571828295,"35-44"
0,1,1,63,0,3969,"2","4","9",360,1,48,4289.12109375,"58",8.36383711768092,"60+"
0,0,0,33,0,1089,"2","7","6",144,1,48,5670.3564453125,"11",8.64300725988035,"25-34"
2,1,1,34,0,1156,"3","7","7",60,1,40,18397.6213727679,"8",9.70588878091647,"25-34"
